"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2017-01-04T12:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","120,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0262,1","-0289,1","10033,1","99999,9,10028,1",,"SYN04204301 46/// /1205 11262 21289 30028 40033=",
"04301099999","2017-01-04T13:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0259,1","-0284,1","10025,1","99999,9,10020,1",,"SYN04204301 46/// /1602 11259 21284 30020 40025=",
"04301099999","2017-01-04T14:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0259,1","-0286,1","10022,1","99999,9,10017,1",,"SYN04204301 46/// /2004 11259 21286 30017 40022=",
"04301099999","2017-01-04T15:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","240,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0264,1","-0290,1","10019,1","99999,9,10014,1",,"SYN04204301 46/// /2404 11264 21290 30014 40019=",
"04301099999","2017-01-04T16:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0256,1","-0283,1","10017,1","99999,9,10012,1",,"SYN04204301 46/// /2305 11256 21283 30012 40017=",
"04301099999","2017-01-04T17:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","240,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0251,1","-0275,1","10015,1","99999,9,10010,1",,"SYN04204301 46/// /2405 11251 21275 30010 40015=",
"04301099999","2017-01-04T18:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0266,1","-0291,1","10016,1","99999,9,10011,1",,"SYN04204301 46/// /2708 11266 21291 30011 40016=",
"04301099999","2017-01-04T19:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0258,1","-0283,1","10017,1","99999,9,10012,1",,"SYN04204301 46/// /2707 11258 21283 30012 40017=",
"04301099999","2017-01-04T20:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0275,1","-0302,1","10018,1","99999,9,10013,1",,"SYN04204301 46/// /2711 11275 21302 30013 40018=",
"04301099999","2017-01-04T21:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0274,1","-0302,1","10020,1","99999,9,10015,1",,"SYN04204301 46/// /2814 11274 21302 30015 40020=",
"04301099999","2017-01-04T22:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0273,1","-0301,1","10020,1","99999,9,10015,1",,"SYN04204301 46/// /2713 11273 21301 30015 40020=",
"04301099999","2017-01-04T23:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0268,1","-0297,1","10024,1","99999,9,10019,1",,"SYN04204301 46/// /2710 11268 21297 30019 40024=",
"04301099999","2017-01-05T00:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0263,1","-0294,1","10024,1","99999,9,10019,1",,"SYN04204301 46/// /2808 11263 21294 30019 40024=",
"04301099999","2017-01-05T01:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","240,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0269,1","-0299,1","10023,1","99999,9,10018,1",,"SYN04204301 46/// /2407 11269 21299 30018 40023=",
"04301099999","2017-01-05T02:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0271,1","-0303,1","10023,1","99999,9,10018,1",,"SYN04204301 46/// /2607 11271 21303 30018 40023=",
"04301099999","2017-01-05T03:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0248,1","-0290,1","10024,1","99999,9,10019,1",,"SYN04204301 46/// /2610 11248 21290 30019 40024=",
"04301099999","2017-01-05T04:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0261,1","-0295,1","10028,1","99999,9,10023,1",,"SYN04204301 46/// /2709 11261 21295 30023 40028=",
"04301099999","2017-01-05T05:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0262,1","-0299,1","10029,1","99999,9,10024,1",,"SYN04204301 46/// /2710 11262 21299 30024 40029=",
